Teacher_ID,Period,Lesson,Student_ID,gen_gen_spec_spec,Why,new_code,text_code
10103,2,8.3,101401,gen,So that people get a basic idea on everything,2,two
10103,2,8.3,101572,spec ,Because stay one or more it gets complicating,2,two
10103,2,8.3,101573,spec,Because if you go in this way it proves your point about the 2 substances,1,one
10103,2,8.3,101467,Yes,So that way you can show that you know what your talking about in case of a pop quiz,1,one
10103,2,8.3,101544,gen,Your model should work for any situation not just one,4,four
10103,2,8.3,101368,spec,If the question is what does copper plus acedic acid make it doesnt help to say what hydrogen and oxygen make,3,three
10103,2,8.3,101460,spec,It is better to focus on things then to just tell the general of it,1,one
10103,2,8.3,101479,gen,Because models arent always about copper and vinerger,4,four
10103,2,8.3,101480,spec,People my age understand how chemical reactions work and make new stuff We need to learn how to interact with other substances,2,two
10103,2,8.3,101547,spec,It should because that was what happened during the experiment,1,one
10103,2,8.3,101458,spec,So it could give us specific details,1,one
10103,2,8.3,101424,gen,Because it is good to know how in all situations,2,two
10103,2,8.3,101491,gen,You could show a breif overview of everything,2,two
10103,2,8.3,101571,spec,Because it shows me that there is a chemical reaction,1,one
10103,2,8.3,101377,spec,It would show how the entire thing is produced,1,one
10103,2,8.3,101459,spec,So people know what kind of substances mix together to make a new substance,2,two
10103,3,8.3,101370,Yes,Because I show molecules increasing in speed are the reaction part between copper and acetic acid,1,one
10103,3,8.3,101536,spec ,That can explain the atoms better,2,two
10103,3,8.3,101305,gen,To show what is going on the experiment,1,one
10103,3,8.3,101505,spec,I think B explains the lesson and question more so thats why it would be the beter answer,1,one
10103,3,8.3,101545,gen,Because models should be short simple and to the point,1,one
10103,3,8.3,101301,gen,I think A because then you can explain how it interacts to form new things generaly,4,four
10103,3,8.3,101482,spec,My opinion on the multiple choice is b because then you learn about the factors that mainly cause the substance to react,2,two
10103,3,8.3,101466,blank,Because the cemig rauted,nc,none
10103,3,8.3,101575,spec,I think it should be formed on B because in my diagram it talks about how the copper turned green,1,one
10103,3,8.3,101308,both,Because you have to show how the substances interact with each other You also have to use specific substances because if you right substance down how will the reader know what it is,6,six
10103,3,8.3,101430,spec,Because there are too many ways for a chemical reaction to happen that a single model could not show them all,2,two
10103,3,8.3,101576,spec,Because we do the experiments so we can see the reactions,1,one
10103,3,8.3,101461,spec,Because it should talk about how they form,1,one
10103,3,8.3,101539,gen,Because my model shows a chemical reaction All chemical reactions form a new substance,4,four
10103,5,8.3,101382,spec,Because it shows the answer more clearly,1,one
10103,5,8.3,101579,spec,Because it shows the outcome It also shows what happens,1,one
10103,5,8.3,101577,Yes,Everything makes a new thing,1,one
10103,5,8.3,101489,Yes,Because thats what people need to know about the experiment,1,one
10103,5,8.3,101580,spec,Because different substances may cause different results,2,two
10103,5,8.3,101498,spec,The model was to explain what the bubbling in this chemical reaction was not just any chemical reaction,5,five
10103,5,8.3,101395,Yes,So people know what you model is about,1,one
10103,5,8.3,101488,spec,It is always better to learn specific things,1,one
10103,5,8.3,101495,spec,To let students know how and why they bond together,2,two
10103,5,8.3,101371,spec,Because that is a specific thing that we did and for other chemical reactions it may be different,2,two
10103,5,8.3,101477,blank,blank,nc,none
10103,5,8.3,101391,spec,I think B because thats a better explanation and it can tell you more,1,one
10103,5,8.3,101360,spec,Because that is what my model is mostly about,1,one
10103,5,8.3,101404,Yes,So the model could explain the answer specifically so you could ,1,one
10103,5,8.3,101313,gen,Because we should know how things generally work so we can apply it to our lives but we sohuld not focus on random cemical reactions,4,four
10103,5,8.3,101578,gen,I think this because we just need to know the structure of the substances not every detail because those are not important,2,two
10103,5,8.3,101397,spec,Because I spicificly use copper and acetic acid and show how they mixe and creat copper acetate,1,one
10103,5,8.3,101496,spec,Because then it will be better explained and have the specific atoms that made that specific chemical reaction,2,two
10103,5,8.3,101421,spec,Because each chemical reaction can have different substances,2,two
10103,6,8.3,101525,gen,I showed the substance changing,1,one
10103,6,8.3,101386,gen,Because that would make sense,1,one
10103,6,8.3,101474,spec,You want to be more specific in a model when you make one,1,one
10103,6,8.3,101309,spec,Because thats the whole point of the model,1,one
10103,6,8.3,101340,gen,Because a model explaines how they get to the ending point so I think itÍs a,1,one
10103,6,8.3,101584,spec,It would help show more and make it be more accurate,2,two
10103,6,8.3,101582,gen,It was supposed to show why the mixture foamed not how the spefics were created,1,one
10103,6,8.3,101356,blank,A general way so that it explains more than one situation,2,two
10103,6,8.3,101512,gen,If it explains a general way on how substances interact the model will be simpler and easier to understand,2,two
10103,6,8.3,101457,spec,A model shows how a chemical reaction occurs with the chemicals substances and how substances and chemicals to compare substances and properties,1,one
10103,6,8.3,101328,gen,Cause we wanted to no how new substunces were made,1,one
10103,6,8.3,101312,spec,Because it is good to be specific,1,one
10103,6,8.3,101504,gen,So the crowd would understand,2,two
10103,8,8.3,101322,spec,Because its sometimes the little things,nc,none
10103,8,8.3,101307,blank,blank,nc,none
